nombre;cantidad;anio
Juan Carlos; 180;2009
Cristian;  97;2009
Diego Armando;  65;2009
Juan Domingo;   8;2009
Norma Beatriz;   4;2009
Agustin;   4;2009
Valentina;   1;2009
Benjamin;2986;2010
Valentina;1972;2010
Juan Pablo; 582;2010
Juan Manuel; 472;2010
Miguel Angel; 279;2010
Juan Carlos; 153;2010
Maria; 133;2010
Cristian;  96;2010
Diego Armando;  38;2010
Norma Beatriz;   3;2010
Juan Domingo;   2;2010
Benjamin;2535;2011
Valentina;1502;2011
Agustin;1236;2011
Juan Pablo; 690;2011
Juan Manuel; 398;2011
Miguel Angel; 198;2011
Maria; 117;2011
Juan Carlos; 101;2011
Cristian;  63;2011
Diego Armando;  15;2011
Juan Domingo;   3;2011
Benjamin;   2;2011
Valentina;   2;2011
Norma Beatriz;   2;2011
Miguel Angel;   1;2011
Agustin;   1;2011
Benjamin;4724;2012
Valentina;2564;2012
Agustin;1875;2012
Juan Pablo;1113;2012
Juan Manuel; 767;2012
Miguel Angel; 420;2012
Juan Carlos; 219;2012
Cristian;  84;2012
Diego Armando;  34;2012
Juan Domingo;   8;2012
Norma Beatriz;   6;2012
Juan Pablo;   1;2012
Valentina;   1;2012
Benjamin;4960;2013
Valentina;2450;2013
Juan Pablo; 757;2013
Juan Manuel; 544;2013
Miguel Angel; 341;2013
Juan Carlos; 168;2013
Maria; 157;2013
Cristian;  72;2013
Diego Armando;  25;2013
Juan Domingo;   6;2013
Norma Beatriz;   6;2013
Benjamin;   4;2013
Juan Pablo;   1;2013
Benjamin;4286;2014
Valentina;2432;2014
Agustin;1501;2014
Juan Pablo; 686;2014
Juan Manuel; 533;2014
Miguel Angel; 270;2014
Juan Carlos; 173;2014
Maria; 124;2014
Cristian;  55;2014
Diego Armando;  32;2014
Juan Domingo;  13;2014
Norma Beatriz;   8;2014
Juan Pablo;   1;2014
Valentina;   1;2014
Benjamin;3695;2015
Valentina;2046;2015
Agustin;1350;2015
Juan Pablo; 577;2015
Juan Manuel; 436;2015
Miguel Angel; 273;2015
Juan Carlos; 125;2015
Cristian;  54;2015
Diego Armando;  20;2015
Juan Domingo;   7;2015
Norma Beatriz;   3;2015
Juan Pablo;   1;2015
Benjamin;   1;2015
